ig acc name,date of scraping,bio,no. of post,no. of follower,posts in last week,average likes per posts
downshifting_hk,30/1/2024,"EST 2020
.
Based in Hong Kong
.
Wear with confidence",342,12914,3,-1
dress.code_hk,30/1/2024,"??????28/1
-??????% ???????? ???? ??????????-
-????????-
.
????????????
????3?? ?????7-14?
?? ???  |  ????? | ??s 
????/??????? � ????????????????",157,3801,0,0
dress.code_hk,30/1/2024,"??????28/1
-??????% ???????? ???? ??????????-
-????????-
.
????????????
????3?? ?????7-14?
?? ???  |  ????? | ??s 
????/??????? � ????????????????",157,3803,0,0
dwilapparels,30/1/2024,"??1??????????
�??% ???? ?? ?????????
? ???ss ???? ?? ???? ?
????????????APM? 
?4-8 | ?2-7 | ?2-6
?????????
???????????????
????????????",1401,67759,0,0
dzagedesigns,30/1/2024,"New Years Sale Is Here ??
????�?????? �?????????????? ??�?????? ??????????????�
Designed In Hong Kong
Hong Kong | Macau | Singapore",820,53297,0,0
f0r.every0ne,30/1/2024,"100% MADE IN KOREA ????????
??????? 
??$799?????
@f0r.every0nee 
???????? 24?????",331,23073,0,0
fungus_hk,30/1/2024,"????? | ???? ???? ?????
??
??IG????
???? HSBC/?? BOC/PAYME/FPS?
??",342,6092,0,0
hissohk,30/1/2024,"??????????????
?????? ?2?1 ?3?2??
?????$99??
???OUTLET???????
??@storybehindhk
??DM for Collab
????Authentic Urban Lifestyle 
??Online Store???/??????",2505,147149,17,1319.588235
hissohk,30/1/2024,"??????????????
?????? ?2?1 ?3?2??
?????$99??
???OUTLET???????
??@storybehindhk
??DM for Collab
????Authentic Urban Lifestyle 
??Online Store???/??????",2505,147149,17,1322.176471
hissohk,30/1/2024,"??????????????
?????? ?2?1 ?3?2??
?????$99??
???OUTLET???????
??@storybehindhk
??DM for Collab
????Authentic Urban Lifestyle 
??Online Store???/??????",2505,147151,17,1321.764706
hiyori_store,30/1/2024,"?? ?????????????? ?????????? ??-?????? | ?????? ??-?????? 
.
� Any day is perfect for shopping.�
.
??|?
?? WEBSITE",393,14476,0,0
hugland.co,30/1/2024,"??? 1???.????.????
???????????
_ 
???$800??????????
_
??????% ???????????????? ???????? ?????????? ?????? ??????????",724,10970,8,34
iiinlab,30/1/2024,"????? ??2-4 ??????
?? ?? ??$300?? ????
7???? ????????
WhatsApp: 6766 1724
Fb: invisible innovation",3049,81601,0,0
in.a.stone,30/1/2024,"????????
???????? ?????????
?? @in.a.stone_men 
?? @in.a.stone_beauty",1963,36791,8,102.125
in.a.stone_men,30/1/2024,"????????
??????? ????????
?? @in.a.stone
@in.a.stone_beauty",350,12093,1,8
inscoo.studio,30/1/2024,"???????Unisex
2?????????
?????
/
??????????????????)
1. ?????611??14:00-21:00
2. ???D2 place one 213A?12:00-20:00
/
??????
???????HK$300???
???????HK$800???
/",295,28828,2,224
koreal.apparel,30/1/2024,"?? Quality Causal Wear
?? Shop 203, 2/F Laforet, Causeway Bay
??? 1:00-9:30PM Everyday
?? Accessories @koreal.hk 
?? Online Order | WhatsApp 95021844",77,1611,6,9.833333333
kumo.shiroii,30/1/2024,"??????????
Opening Hours??
3-8 pm (Mon OFF) 
??
? ??
????????????
?????????? @kumokumo.hk
??????? @kumo.diaryy
??????????$800??VIP??95?
??????????
??????????",707,18256,4,199.75
little.breezee,30/1/2024,"??IGSTORY??+TAG?????????.??.??
?
??????????????????? ????????????????????
???????????9000+ ??
????????????????
???????????$500????/?????
??????????? ???????? ??????????
???????.?.???",538,25588,0,0
lumos_mo,30/1/2024,"????9??????
?????$500???
??????Ebuy??/????
@febpear_mo 
Design select shop @lumos_mo 
Vintage store @sisland_market
????????23???????????",130,4734,0,0
maum.kr,30/1/2024,"????$20?????
.
????????
?/??????
???????????????
.
?????????",956,24220,0,0
mody.closet,30/1/2024,"?? ??????????? ?????????
Order HERE???? DM / Whatsapp 
-
?$800???????
????7-21???(????&?????)
NO EXCHANGE & REFUND
?????? ??????????",815,17044,0,0
moonlightgangsters,30/1/2024,"W?e? ?????????�??? d?o? ?b?a?s?i?c?!?
?? ?????????????????? ????????????????
?? ??? ????$800??????VIP
?? ?????STORY HIGHLIGHT
?? ????????1603?
 
#???? #???? #????????????????",350,14680,1,142
mormor_s,30/1/2024,"??
???????? 
?????3????82F ? 29 
????????
? 2?9:30
 
Ig????????
??????????\(^?^)/
????????????
 
???? ? 63167522",2420,56626,0,0
onece.co,30/1/2024,"Simple Easy Fashion
-
Offline???????83?K83??1F05-06
(???E??)
????????????
???1400-2100
-
Online : ???????/???????
?????onece.co",388,69506,0,0
onion.hk,30/1/2024,"????$350????????
?????$800????9?! 
??VIP?????9???? 
/
??????? ???�?�
/
??. DM / 65729581
????????:)
??24????????",1896,11658,1,-1
pear.petal,30/1/2024,"????? ???6pm??????
? ?????? $10 ?
? ??| ???? DM � WS
? ??????
? ????? � ??????",791,8493,0,0
sense_store,30/1/2024,"??????????????
????
??25/F Mong Kok Metro 594-596 Nathan Road, Mongkok 
??1/F 8 Pak Sha Road, Causeway Bay
???? 
???? ??????49???
.
?? ???????????? (Worldwide Shipping)",146,101549,19,-1
sibling_co,30/1/2024,"??????????|??????????
????????????mumm???????
-
??????????$20??????
???????????????????????
???????2%??
-
??Worldwide Shipping????",293,16929,0,0
sillyegg.vintage,30/1/2024,"?? ?????? ???????
??????? ?1400-2000) 
??????? ???pm
??Visa / Master / Payme/ FPS /?????
??Online Shopping/???
????????313?
?????D4??",533,21217,5,139.6
sneakaway_hk,30/1/2024,"Introduce Sneakers of All-Time
-
??: ???DM
??: sneakaway0115@gmail.com",13,247,1,-1
sneakaway_hk,30/1/2024,"Introduce Sneakers of All-Time
-
??: ???DM
??: sneakaway0115@gmail.com",13,247,1,-1
sunflower___club,30/1/2024,"?*?  ?????????????????? ?????????? ?????????? ???? ??????????  ?*? ??
?*? ?????? ?????????????????? ???? ?*?
?
?? ???????????????? ?????????? ???????? ????
???????800hkd ?????????95? 
?? ?????????
?? ???????",150,18731,0,0
tactual.hk,30/1/2024,"??WhatsApp?55088066 
????????????2?231? ???580
???????????18?1806? ???582
????? 15:00?22:00?????????
????????",13144,12670,1,15
timefault.hk,30/1/2024,"????????????29?1???
????????????41B????1?A6-A7
????????????????63?
???????????????
-
????1-1030PM
VINTAGE|GLOBAL SHIPPING??",1830,60028,18,212.7222222
timefault.hk,30/1/2024,"????????????29?1???
????????????41B????1?A6-A7
????????????????63?
???????????????
-
????1-1030PM
VINTAGE|GLOBAL SHIPPING??",1830,60028,0,0
timefault.hk,30/1/2024,"????????????29?1???
????????????41B????1?A6-A7
????????????????63?
???????????????
-
????1-1030PM
VINTAGE|GLOBAL SHIPPING??",1830,60030,18,213.3888889
two.collection,30/1/2024,"? ????? ??? ???? ?
?????????????
??$?????? ??????????????????????
??$?????? ??????????????
?
???????? ????????????????
?� ????????????????
� ????????????????
?
????????????
????????????",7470,84660,0,0
wardrobe.hk,30/1/2024,"??????????
????? ?????? ???????? ???????????????? ???
��� ?????????? ???????? ���
�
??worldwide shipping??
????????
� 
??????????
???24????????",533,18300,0,0
whoops.hk,30/1/2024,"???? 5% OFF??
??????????????? ????
?
??1-3? / ??7-20?
??? / ???
FPS / ATM / PAYME / TAP&GO / ??? / ??? / ???
?
???? 100% ????
?????????????",1187,31366,2,57
179cm.korea,31/1/2024,"Made in Korea
Quality Over Everything.
�
??3????|?????4????
??????????
DM ??| ??????",557,26488,0,0
2.pm_store,31/1/2024,"???????????
153cm - 167cm model????
?
?????$1000????????
????23:59??
?????????
????/ ????
?
?????????????????????????????
???????????????/??????
?
????????",401,11786,0,0
2097.co,31/1/2024,"??29/1-01/02??????
????All from Korea????
Men/Women/Unisex
-
?????
365 days new product new season
??$600/$700??2??? 
-
??working hours??
Mon-sun:3:30pm-9:00pm",116,30089,0,0
3amproduccion,31/1/2024,"Follow @3amstudio.hk ??
?????? | 153-168cm Model?????( ? )?
?????? | ????
??/?? | Whatsapp 98808237 (????)
Direct Message???",4411,65431,0,0
82closet,31/1/2024,"?? All from Korea 
?? Unisex & woman�s wear
?? ?????????highlight story",295,16697,0,0
__deerest,31/1/2024,"?
???????highlight?1??????
????????????????
????? ??????
.
???700????
? ?? : whatsapp 51929112
.
??????",1662,60642,3,54.66666667
_attictreasure,31/1/2024,"?? ???????? ??????? ""?????????? ?????? ??????"" ?????????
? ????????????????: ????/ W???????????? ???? 
????????? ???????????????? ???????? $600.? 
????????? ?????? ???? ????????????????? F?????L??L?????W?? ??U??S??",46,810,0,0
acme.co_,31/1/2024,"�
Style your life with the simplest items?
�
Order/Any enquirers
DM/WhatsApp
�
??Payment 
HSBC/BOC/PAYME",300,12052,0,0
airspacetaiwan,31/1/2024,"#ASXME wear us tag us
?? International Shipping     
?? Size From S-4XL
?? Inbox????????
??FB?????????AIR SPACE",4495,343630,12,501.1666667
ajournal.wear,31/1/2024,"? ?? Showroom / ?????story
? 100% ?????????????? ???????? ??????????
? ???????????????? ???????????????? (????)
? ????????
? ?????????????20?7B",754,32267,5,81
blackmodes_,31/1/2024,"????????2?95? 3?88?????
?????? ???????? ???? ??????????
??????????????? 
2023????(??0009?0010)
?
??????
???????2?236??
???????700?T.O.P 3/F 318?
??????????????16?10?",2544,64608,0,0
cerealoutfit,31/1/2024,"Street tasted, CEREAL approved.
@cerealoutfit_scrapbook 
-
LINE Service ?? @cerealoutfit",342,160303,4,207.75
checkorean,31/1/2024,"? ? ? ????? ? ? ? ? ? ? ?
????: ???????????1?102H???????
-
ALL FROM KOREA???? Story/??????? ??
??? ????????$699???????????
?? ????????
?? ??24??????????",345,14543,7,46.14285714
chichistorehk,31/1/2024,"??? ? ? ???
?? ?? $?? ??
?? ?? $?? ??
?? ?? $?? ?? ??
?????????? ????????
?????? ?? ?? % ? ? ? ? 
�������������
?????????
????????",1581,16671,0,0
clodayshk,31/1/2024,"@clodayshk @clodayss 
?????????? | ??????
??????HKD$800????VIP
���
????Whatsapp 5717 8232 / Dm
?????? ????$600??????
??Tap&Go / PayMe /??????",412,10518,0,0
concept_kimbo,31/1/2024,"???$299?????
???? & ????
????????
????ApplePay/ Payme/???/????
????????
??????????
.
??:IG DM/ Wts55116559
???7-14?????
????2941787",127,5930,0,0
cornerc.co,31/1/2024,"????.??.????????????
???????-??????, ??-?????? ??????-??????,??-??:?????????
?
??????????$500????????9????
?????WhatsApp ?+?????? ???? ?????? ?????? ???",1877,98344,6,386.6666667
delunaboutique,31/1/2024,"? Hello 2024 ? New Season
?? ?????????????
?????????? ?????????
-
WhatsApp +852 46079931
?????????7-21???
?? @deluna.luxury 
-
??????????????OK .?.?",485,24388,0,0
downshifting_hk,31/1/2024,"EST 2020
.
Based in Hong Kong
.
Wear with confidence",342,12942,3,-1
dress.code_hk,31/1/2024,"??????28/1
-??????% ???????? ???? ??????????-
-????????-
.
????????????
????3?? ?????7-14?
?? ???  |  ????? | ??s 
????/??????? � ????????????????",157,3805,0,0
dwilapparels,31/1/2024,"??1??????????
�??% ???? ?? ?????????
? ???ss ???? ?? ???? ?
????????????APM? 
?4-8 | ?2-7 | ?2-6
?????????
???????????????
????????????",1401,67781,0,0
dzagedesigns,31/1/2024,"New Years Sale Is Here ??
????�?????? �?????????????? ??�?????? ??????????????�
Designed In Hong Kong
Hong Kong | Macau | Singapore",820,53321,0,0
epoch.vintagehk,31/1/2024,"???????????
?? ???????????26?17??
?? Mon-Thur : 3-9pm Fri-Sun : 3-10pm
?No Return No Refund?",451,11003,0,0
f0r.every0ne,31/1/2024,"100% MADE IN KOREA ????????
??????? 
??$799?????
@f0r.every0nee 
???????? 24?????",331,23091,0,0
fumble_official,31/1/2024,"?? ? ? ??
????????:
??HONG KONG
???????38-40???????5?B?
-
??TAIPEI
????????12?3?
#BeACityBoy
#?????????????
-
???????????",667,52027,12,60.33333333
fumble_official,31/1/2024,"?? ? ? ??
????????:
??HONG KONG
???????38-40???????5?B?
-
??TAIPEI
????????12?3?
#BeACityBoy
#?????????????
-
???????????",667,52027,12,60.33333333
fungus_hk,31/1/2024,"????? | ???? ???? ?????
??
??IG????
???? HSBC/?? BOC/PAYME/FPS?
??",342,6091,0,0
hissohk,31/1/2024,"??????????????
?????? ?2?1 ?3?2??
?????$99??
???OUTLET???????
??@storybehindhk
??DM for Collab
????Authentic Urban Lifestyle 
??Online Store???/??????",2506,147157,15,1423.466667
hissohk,31/1/2024,"??????????????
?????? ?2?1 ?3?2??
?????$99??
???OUTLET???????
??@storybehindhk
??DM for Collab
????Authentic Urban Lifestyle 
??Online Store???/??????",2506,147158,15,1422.466667
hissohk,31/1/2024,"??????????????
?????? ?2?1 ?3?2??
?????$99??
???OUTLET???????
??@storybehindhk
??DM for Collab
????Authentic Urban Lifestyle 
??Online Store???/??????",2506,147157,15,1423.733333
hiyori_store,31/1/2024,"?? ?????????????? ?????????? ??-?????? | ?????? ??-?????? 
.
� Any day is perfect for shopping.�
.
??|?
?? WEBSITE",393,14475,0,0
hugland.co,31/1/2024,"??? 1???.????.????
???????????
_ 
???$800??????????
_
??????% ???????????????? ???????? ?????????? ?????? ??????????",725,10986,8,30
iiinlab,31/1/2024,"????? ??2-4 ??????
?? ?? ??$300?? ????
7???? ????????
WhatsApp: 6766 1724
Fb: invisible innovation",3049,81601,0,0
in.a.stone,31/1/2024,"????????
???????? ?????????
?? @in.a.stone_men 
?? @in.a.stone_beauty",1964,36802,9,104.3333333
in.a.stone_men,31/1/2024,"????????
??????? ????????
?? @in.a.stone
@in.a.stone_beauty",349,12098,1,9
inscoo.studio,31/1/2024,"???????Unisex
2?????????
?????
/
??????????????????)
1. ?????611??14:00-21:00
2. ???D2 place one 213A?12:00-20:00
/
??????
???????HK$300???
???????HK$800???
/",295,28862,1,151
keepglowing_clothes,31/1/2024,"?????????????????
???????
??7-21????
??????????
???????????? ???????
?????? ??? PayMe ?????AlipayHK 
???????
????DM?????",219,3797,10,62.5
koreal.apparel,31/1/2024,"?? Quality Causal Wear
?? Shop 203, 2/F Laforet, Causeway Bay
??? 1:00-9:30PM Everyday
?? Accessories @koreal.hk 
?? Online Order | WhatsApp 95021844",79,1616,3,7.333333333
kumo.shiroii,31/1/2024,"??????????
Opening Hours??
3-8 pm (Mon OFF) 
??
? ??
????????????
?????????? @kumokumo.hk
??????? @kumo.diaryy
??????????$800??VIP??95?
??????????
??????????",707,18282,4,207.5
lady.chesna,31/1/2024,"??2??:@girl.chesna?
?????:@little.chesna?
?
???????$30?
????????$10?
?????????????
?????3?????
?
?????-fps/payme/alipayhk/?????
??????/????
?????7-14???",15202,3805,88,0.375
lilybshopp,31/1/2024,"? ??????? ???? ???? ????
?? ?????? ????@lilybshop_snap
? ????7-14? 2?????
? ??????
? ??2?-$???? ?3??????-$20
? ???????????????????????
?? ???cutting? ???????????",43576,5462,65,0.292307692
little.breezee,31/1/2024,"??IGSTORY??+TAG?????????.??.??
?
??????????????????? ????????????????????
???????????9000+ ??
????????????????
???????????$500????/?????
??????????? ???????? ??????????
???????.?.???",539,25604,0,0
little.breezee,31/1/2024,"??IGSTORY??+TAG?????????.??.??
?
??????????????????? ????????????????????
???????????9000+ ??
????????????????
???????????$500????/?????
??????????? ???????? ??????????
???????.?.???",539,25604,0,0
lumos_mo,31/1/2024,"????9??????
?????$500???
??????Ebuy??/????
@febpear_mo 
Design select shop @lumos_mo 
Vintage store @sisland_market
????????23???????????",130,4734,0,0
maum.kr,31/1/2024,"????$20?????
.
????????
?/??????
???????????????
.
?????????",956,24221,0,0
mody.closet,31/1/2024,"?? ??????????? ?????????
Order HERE???? DM / Whatsapp 
-
?$800???????
????7-21???(????&?????)
NO EXCHANGE & REFUND
?????? ??????????",815,17054,0,0
moonlightgangsters,31/1/2024,"W?e? ?????????�??? d?o? ?b?a?s?i?c?!?
?? ?????????????????? ????????????????
?? ??? ????$800??????VIP
?? ?????STORY HIGHLIGHT
?? ????????1603?
 
#???? #???? #????????????????",350,14670,1,270
mormor_s,31/1/2024,"??
???????? 
?????3????82F ? 29 
????????
? 2?9:30
 
Ig????????
??????????\(^?^)/
????????????
 
???? ? 63167522",2420,56625,0,0
mythsvintage,31/1/2024,"#??????
?????????
 
-?????????????? 
-????�?? 
-??????
-???????????? 
-???????????????? ?????????? 
����������
#hkvintageshop
???????? ??
MON-FRI 1500-2100 SAT-SUN 1400-2130",205,3875,2,-1
oaknus,31/1/2024,"??All pretty goods collect from Korea
�
???????
???? � ???7-18???
??????????
? ????????",137,7174,0,0
onece.co,31/1/2024,"Simple Easy Fashion
-
Offline???????83?K83??1F05-06
(???E??)
????????????
???1400-2100
-
Online : ???????/???????
?????onece.co",388,69510,0,0
onion.hk,31/1/2024,"????$350????????
?????$800????9?! 
??VIP?????9???? 
/
??????? ???�?�
/
??. DM / 65729581
????????:)
??24????????",1896,11657,0,0
onsaturday___,31/1/2024,"?????????????
.
Service time/ Mon-Fri 13:00-20:00
Product from Korea & Japan!
?
/
*Overseas Delivery*",546,68435,0,0
pear.petal,31/1/2024,"????? ???6pm??????
? ?????? $10 ?
? ??| ???? DM � WS
? ??????
? ????? � ??????",792,8507,7,81.57142857
ppicnich,31/1/2024,"/p?kn?k/??????????????????? �?
?????
1.26 ? 4-7pm
1.27 ? 3-6pm
 
? ????????????????
? ????
? ?? ?????????????????????
 
?????",966,18692,0,0
queenshoplife,31/1/2024,"#queenshoplife
#qsootd 
???????????????
???????????
??????
?????????
@lady__collection
@outdoor__collection
@queenshop_lifestore_ 
?
??Delivery
?",4985,267460,6,312
sense_store,31/1/2024,"??????????????
????
??25/F Mong Kok Metro 594-596 Nathan Road, Mongkok 
??1/F 8 Pak Sha Road, Causeway Bay
???? 
???? ??????49???
.
?? ???????????? (Worldwide Shipping)",146,101627,16,-1
sibling_co,31/1/2024,"??????????|??????????
????????????mumm???????
-
??????????$20??????
???????????????????????
???????2%??
-
??Worldwide Shipping????",293,16994,0,0
sillyegg.vintage,31/1/2024,"?? ?????? ???????
??????? ?1400-2000) 
??????? ???pm
??Visa / Master / Payme/ FPS /?????
??Online Shopping/???
????????313?
?????D4??",534,21263,4,168.25
soulo.hk,31/1/2024,"?? ???????? ???????? ?? ???? ??????????????????.
????????????
??????? 160cm 54kg ??????? 168cm 56kg
?
?$500 ?????????9???
?????????
???? Since 2023
?? ??Payme?FPS � Alipay
?? ??DM??",284,5186,0,0
sugu.hk,31/1/2024,"???? ??????? ???? ????? ???? ??????
??????????????????????????? 
???????????????????? ???????????????? ????????
?? ??????? ??? / ?????? ?? ?????",447,23195,0,0
sunflower___club,31/1/2024,"?*?  ?????????????????? ?????????? ?????????? ???? ??????????  ?*? ??
?*? ?????? ?????????????????? ???? ?*?
?
?? ???????????????? ?????????? ???????? ????
???????800hkd ?????????95? 
?? ?????????
?? ???????",150,18742,0,0
tactual.hk,31/1/2024,"??WhatsApp?55088066 
????????????2?231? ???580
???????????18?1806? ???582
????? 15:00?22:00?????????
????????",13144,12674,1,15
timefault.hk,31/1/2024,"????????????29?1???
????????????41B????1?A6-A7
????????????????63?
???????????????
-
????1-1030PM
VINTAGE|GLOBAL SHIPPING??",1832,60049,0,0
two.collection,31/1/2024,"? ????? ??? ???? ?
?????????????
??$?????? ??????????????????????
??$?????? ??????????????
?
???????? ????????????????
?� ????????????????
� ????????????????
?
????????????
????????????",7472,84676,0,0
wardrobe.hk,31/1/2024,"??????????
????? ?????? ???????? ???????????????? ???
��� ?????????? ???????? ���
�
??worldwide shipping??
????????
� 
??????????
???24????????",533,18319,0,0
whoops.hk,31/1/2024,"???? 5% OFF??
??????????????? ????
?
??1-3? / ??7-20?
??? / ???
FPS / ATM / PAYME / TAP&GO / ??? / ??? / ???
?
???? 100% ????
?????????????",1187,31367,2,62.5
hisso,2024-02-07,,1,6,0,0
little.breezee,2024-02-07,"✿於IGSTORY回圖+TAG我們即可獲得購物金.ᐟ‪.ᐟ✿
一
♡𝐖𝐨𝐫𝐥𝐝𝐰𝐢𝐝𝐞 𝐝𝐞𝐥𝐢𝐯𝐞𝐫𝐲🌎🤍
♡開業至今訂單量已累積9000+ 🔥
♡韓國入貨👩🏼‍💻🇰🇷
♡每日高效率訂貨🥨滿$500包順豐站/智能櫃🕰
♡𝐒𝐢𝐧𝐜𝐞 𝐉𝐮𝐧𝐞 𝟐𝟎𝟐𝟎🍞
♡網站自助下單.ᐟ.ᐟ🛒",542,25702,0,0
2.pm_store,2024-02-07,"韓國東大門服飾🇰🇷
153cm - 167cm model上身圖♡
✧
單次購物滿$1000成為永久會員💘
逢星期四23:59截單
接受所有付款方式➿
門市自取/ 順豐到付
✧
𓈒𓏸︎︎︎︎元朗教育路嘉城廣場𝟐樓𝟐𝟎𝟎𝟑舖
𓈒𓏸︎︎︎︎門市設有試身室/逢星期四休息
✧
網站看更多産品↓",398,11807,0,0
in.a.stone_men,2024-02-07,"韓國選物🇰🇷
門市不定期開放 請留意開放時間表
女裝 @in.a.stone
@in.a.stone_beauty",349,12083,0,0
in.a.stone,2024-02-07,"韓國選物🇰🇷
✨門市不定期開放 請留意開放時間表✨
男裝 @in.a.stone_men 
保養 @in.a.stone_beauty",1964,36745,1,675.0
fungus_hk,2024-02-07,"ʟᴏᴄᴀʟ | ʜᴏɴɢ ᴋᴏɴɢ 🇭🇰​
▾​
直接IG訂購：​
💳匯豐 HSBC/中銀 BOC/PAYME/FPS​
▾​",342,6090,0,0
kumo.shiroii,2024-02-07,"🩰🪐🫧🍓🤍
Opening Hours🕑
3-8 pm (Mon OFF) 
⠀⠀
♡ ⠀⠀
本店持有效商業登記證🔖
☁️｜韓國美妝護膚品 @kumokumo.hk
🧢｜品牌代購 @kumo.diaryy
🧚🏻‍♀️｜買滿$800成為VIP永久95折
🚚｜三件服裝包順豐
🛒｜網站自助下單↓",709,18467,1,52.0
pear.petal,2024-02-07,"🌷新品→ 逢週五6pm網站上架🌷
❏ 註冊會員即送 $10 ♥
❏ 查詢| 商業合作 DM • WS
❏ 持商業登記證
❏ 港澳台配送 • 網站自助下單",797,8576,0,0
f0r.every0ne,2024-02-07,"100% MADE IN KOREA ｜不定期韓國連線
葵興工作室自取 
買滿$799即享免運費
@f0r.every0nee 
電郵查詢會更快回覆
網站查看更多貨品 24小時下單↓",331,23164,0,0
clodayshk,2024-02-07,"@clodayshk @clodayss 
ฅ♡持有效商業登記證 | 網站自助下單
・單次購物滿HKD$800即可成為VIP
———
查詢🪧Whatsapp 5717 8232 / Dm
順豐到付📦 港澳買滿$600免自取點運費
接受Tap&Go / PayMe /八達通消費券",412,10553,0,0
delunaboutique,2024-02-07,"♡ Hello 2024 ♡ New Season🌷
🏮 全店優惠：1件95折 2件9折 4件88折
「幫你襯衫」超值福袋 限量發售中🧧
-
WhatsApp +852 46079931
現貨即日出貨｜預訂7-21工作天
👜 @deluna.luxury 
-
👇🏻網站自助下單｜消費券OK .ᐟ.ᐟ",467,24527,0,0
dzagedesigns,2024-02-07,"New year sale is here!
Simply great clothing
Stop by to shop ⬇️",821,53466,0,0
hugland.co,2024-02-07,"新一年 1件包郵.ᐟ‪‪‬.ᐟ‪‪‬
觀塘工作室✿設有試身室
_ 
購物滿$800即時免運費及成為會員
_
𝟙𝟘𝟘% 𝕕𝕖𝕝𝕚𝕧𝕖𝕣𝕪 𝕗𝕣𝕠𝕞 𝕁𝕒𝕡𝕒𝕟 𝕒𝕟𝕕 𝕂𝕠𝕣𝕖𝕒",731,11048,6,25.166666666666668
wardrobe.hk,2024-02-07,"🩶門市每天開放🩶
「𝙒𝙚 𝙖𝙧𝙚 𝙮𝙤𝙪𝙧 𝙬𝙖𝙧𝙙𝙧𝙤𝙗𝙚 」🧺
··· 𝗦𝗶𝗻𝗰𝗲 𝟮𝟬𝟮𝟬 ···
•
✈︎worldwide shipping✈︎
貨品均由韓國直送
• 
下單前請細閱購物須知
⤹網站24小時自助下單🛒",532,18430,0,0
inscoo.studio,2024-02-07,"🇭🇰香港｜Unisex
2間門市都設有試衣間
全現貨發售
/
🕰️營業時間：（唔建議咁準時到😂)
1. 旺角百寶利611室：14:00-21:00
2. 荔枝角D2 place one 213A：12:00-20:00
/
網站自助落單
🇭🇰香港免運費
🇹🇼台灣滿HK$800免運費
/",295,29016,0,0
timefault.hk,2024-02-07,"📌旺角門市｜旺角豉油街29號1樓🆕
📌旺角門市｜旺角花園街41B百祥大廈1樓A6-A7
📌尖沙咀地舖｜尖沙咀加連威老道63號
㩒一下密碼鎖上面白色鐘仔開門～
-
開放時間1-1030PM
VINTAGE|GLOBAL SHIPPING🌍",1849,60484,0,0
blackmodes_,2024-02-07,"🇰🇷全店優惠網站與門市同步進行中💖🌟
𝑨𝒍𝒍 𝑴𝒂𝒅𝒆 𝒊𝒏 𝑲𝒐𝒓𝒆𝒂
◎所有貨品經韓國東大門直送到港 
2024正版正貨(編號0009、0010)
⁡
𖠿門市位置
𓐍葵芳新都會2樓236號舖
𓐍旺角彌敦道700號T.O.P 3/F 318舖
𓐍旺角西洋菜南街好望角大廈16樓10室",2547,64648,0,0
sense_store,2024-02-07,"𝘼𝙙𝙙𝙧𝙚𝙨𝙨
🇭🇰
📍25/F Mong Kok Metro 594-596 Nathan Road, Mongkok 
📍1/F 8 Pak Sha Road, Causeway Bay
🇲🇴 
📍澳門 荷蘭園大馬路49號地舖
.
🌐 𝙊𝙣𝙡𝙞𝙣𝙚 (Worldwide Shipping)",154,102189,0,0
